project_name,nb_XML_files_beans_config,nb_Java_files_beans_config,nb_total_files_beans_config,nb_XML_beans,nb_Java_beans,nb_total_beans,is_autowired,nb_Java_files,LoC_Java,stargazers_count,watchers_count,forks_count,open_issues_count,score,size,created_at,
spring-projects/spring-hadoop,0,17,17,0,68,68,False,717,37280,554,554,335,10,59.444077,7877,2010-12-16T16:42:11Z,
spring-projects/spring-hadoop-samples,15,2,17,83,5,88,True,49,1493,375,375,381,17,61.28789,4249,2013-08-21T17:04:52Z,
spring-projects/spring-hateoas,0,2,2,0,11,11,False,124,6668,774,774,341,222,60.157238,2894,2012-05-07T15:18:47Z,
spring-projects/spring-ide,139,1,140,497,2,499,True,3769,265349,260,260,108,94,50.26922,735879,2012-01-18T11:00:22Z,
spring-projects/spring-integration,0,3,3,0,22,22,False,1705,104820,792,792,681,15,64.732315,48227,2011-07-22T21:47:27Z,
spring-projects/spring-integration-extensions,11,0,11,33,0,33,False,236,9645,200,200,220,4,50.878136,2620,2012-06-13T16:05:52Z,
spring-projects/spring-integration-java-dsl,0,0,0,0,1,1,False,163,10309,150,150,71,0,43.8256,1260,2014-11-12T17:34:22Z,
spring-projects/spring-integration-kafka,0,0,0,0,0,0,False,23,2191,277,277,156,1,49.69352,1491,2014-11-12T17:35:29Z,
spring-projects/spring-integration-samples,58,9,67,127,87,214,True,220,7252,1478,1478,2159,16,69.36552,11642,2011-08-10T04:40:02Z,
spring-projects/spring-kafka,0,2,2,0,15,15,True,172,10750,564,564,373,23,60.173534,4057,2016-03-02T17:01:33Z,
spring-projects/spring-ldap,7,0,7,23,0,23,True,298,15262,182,182,373,82,63.946857,24076,2013-07-02T22:23:31Z,
spring-projects/spring-loaded,0,0,0,0,0,0,False,928,29502,2161,2161,417,122,64.39353,35087,2012-12-06T23:17:42Z,
spring-projects/spring-mobile,0,4,4,25,11,36,False,60,1759,150,150,111,2,48.874413,5105,2011-05-27T16:54:08Z,
spring-projects/spring-mvc-showcase,0,2,2,0,3,3,True,40,1324,4249,4249,3505,17,75.16248,665,2011-06-03T15:36:55Z,
spring-projects/spring-petclinic,0,1,1,0,1,1,True,25,731,2773,2773,5321,12,80.76671,7160,2013-01-09T09:05:18Z,
spring-projects/spring-plugin,0,0,0,0,0,0,False,20,490,203,203,62,6,46.074528,549,2012-02-20T18:06:37Z,
spring-projects/spring-restdocs,0,1,1,0,1,1,True,215,8426,797,797,462,37,62.367226,4036,2014-10-08T12:53:51Z,
spring-projects/spring-retry,0,0,0,0,0,0,False,81,3735,863,863,219,37,58.012825,567,2010-12-21T16:41:48Z,
spring-projects/spring-roo,0,1,1,10,5,15,True,956,99260,617,617,295,2,58.834755,40092,2011-08-31T21:30:19Z,
spring-projects/spring-security,21,14,35,168,68,236,True,1397,69582,3029,3029,2803,910,86.119194,33287,2012-01-10T21:50:57Z,
spring-projects/spring-security-javaconfig,1,19,20,3,67,70,True,135,7103,155,155,118,4,46.75306,3474,2013-03-04T23:00:33Z,
spring-projects/spring-security-oauth,2,20,22,19,110,129,True,447,26673,3163,3163,3056,632,73.4947,6061,2011-07-26T18:08:49Z,
spring-projects/spring-security-oauth2-boot,0,8,8,0,31,31,True,43,2380,111,111,31,1,36.364567,314,2017-12-12T22:55:29Z,
spring-projects/spring-security-saml,2,0,2,107,0,107,True,101,8547,280,280,389,105,55.059765,5623,2012-01-10T23:05:35Z,
spring-projects/spring-session,2,40,42,5,89,94,True,184,10736,1260,1260,711,173,74.11127,20154,2014-06-20T21:16:58Z,
spring-projects/spring-shell,0,7,7,0,33,33,True,114,4625,363,363,253,46,58.327694,5912,2012-02-16T02:29:58Z,
spring-projects/spring-social,1,2,3,1,8,9,False,154,6171,531,531,323,84,58.80888,9217,2011-02-28T14:12:36Z,
spring-projects/spring-social-facebook,0,1,1,0,2,2,False,214,8526,224,224,253,76,52.101025,9337,2011-05-18T21:27:43Z,
spring-projects/spring-social-samples,13,26,39,40,83,123,True,153,4259,496,496,815,57,63.064003,1011,2011-02-28T14:25:04Z,
spring-projects/spring-social-twitter,0,1,1,2,2,4,False,136,5623,105,105,109,50,45.326336,6494,2011-05-18T20:55:01Z,
spring-projects/spring-statemachine,0,20,20,0,83,83,True,417,21635,563,563,261,116,57.830456,14556,2015-02-04T17:15:36Z,
spring-projects/spring-sync,0,1,1,0,3,3,False,53,1991,105,105,40,17,41.503086,1327,2014-07-29T15:12:54Z,
spring-projects/spring-webflow,3,2,5,14,9,23,False,519,23722,221,221,172,1,54.62528,22121,2011-12-27T23:27:14Z,
spring-projects/spring-ws,0,2,2,0,9,9,False,462,25546,175,175,215,9,55.599075,20196,2013-01-30T12:50:51Z,
spring-projects/spring-xd,64,14,78,250,51,301,True,1015,56801,462,462,303,62,58.248672,28778,2013-04-10T15:31:44Z,
spring-projects/spring-xd-samples,18,5,23,31,17,48,True,71,2514,189,189,229,18,51.134747,31515,2013-08-12T02:38:43Z,
spring-projects/sts4,0,3,3,0,42,42,True,708,53644,156,156,39,25,34.427708,53399,2016-08-16T15:04:50Z,
springside/springside4,0,1,1,0,2,2,True,125,8691,5494,5494,3073,71,93.56516,4837,2012-02-23T08:39:03Z,
spring-social/spring-social-google,0,1,1,0,2,2,False,178,5284,194,194,159,24,49.166195,2042,2011-08-09T06:25:33Z,
springtestdbunit/spring-test-dbunit,0,0,0,0,0,0,False,34,1350,374,374,203,50,52.165085,3451,2010-12-12T18:24:31Z,
sqmax/springboot-project,0,0,0,0,7,7,True,74,2041,209,209,104,2,49.443794,251,2018-04-07T15:09:05Z,
sqshq/PiggyMetrics,0,6,6,0,11,11,True,72,1927,4627,4627,2540,7,83.56196,1489,2015-03-29T17:56:31Z,
steveonjava/JavaFX-Spring,0,4,4,0,16,16,True,28,979,127,127,77,4,43.38683,210,2012-08-28T00:18:10Z,
stormpath/spring-mvc-rest-exhandler,1,0,1,9,0,9,False,11,783,189,189,130,1,49.2726,35,2012-04-24T22:35:11Z,
stormpath/stormpath-sdk-java,0,19,19,0,259,259,True,1463,55301,217,217,161,155,29.060253,26808,2012-04-03T01:22:09Z,
stunstunstun/awesome-spring-boot,0,2,2,0,6,6,True,32,943,178,178,60,3,43.07575,10324,2015-07-08T09:35:46Z,
sunnykaka/mysteam,0,0,0,0,17,17,True,173,5731,158,158,104,0,22.254278,473,2016-03-31T05:41:18Z,
svlada/springboot-security-jwt,0,3,3,0,3,3,True,41,1077,529,529,325,7,55.90703,93,2016-08-03T08:54:30Z,
Swagger2Markup/spring-swagger2markup-demo,0,0,0,0,2,2,True,15,656,233,233,131,5,47.51403,365,2015-02-16T09:42:50Z,
szerhusenBC/jwt-spring-security-demo,0,1,1,0,2,2,True,20,756,1828,1828,917,20,64.9371,244,2016-03-20T19:16:17Z,
tang-jie/NettyRPC,1,1,2,14,4,18,True,186,6401,793,793,377,23,48.67142,2566,2016-07-28T14:56:15Z,
tangyanbo/springmore,1,0,1,1,0,1,False,131,8087,143,143,159,0,54.47548,7851,2015-06-10T07:08:32Z,
T-baby/MongoDB-Plugin,0,0,0,0,0,0,False,23,1528,230,230,91,23,33.675846,150,2016-02-15T07:34:38Z,
teaey/spring-boot-starter-dubbo,0,1,1,0,8,8,False,4,232,132,132,472,62,56.31469,33,2016-07-07T08:36:18Z,
technical-rex/spring-security-jwt,0,2,2,0,5,5,False,16,485,119,119,50,1,40.733067,31,2015-07-18T12:33:44Z,
theborakompanioni/thymeleaf-extras-shiro,0,0,0,0,0,0,False,29,1224,209,209,66,4,41.54474,149,2013-01-23T20:09:16Z,
ThoreauZZ/spring-cloud-example,0,3,3,0,8,8,True,120,3741,107,107,79,1,43.255524,3246,2017-01-11T02:39:43Z,
timebusker/spring-boot,0,17,17,0,46,46,True,196,5860,651,651,331,1,59.59726,12136,2017-04-13T11:54:57Z,
tkaczmarzyk/specification-arg-resolver,0,0,0,0,0,0,False,58,2031,160,160,50,15,41.08031,420,2014-03-23T09:04:58Z,
ToDou/appbarlayout-spring-behavior,0,0,0,0,0,0,False,12,2162,969,969,141,28,52.398552,83775,2016-10-13T11:06:05Z,
Treeptik/cloudunit,1,6,7,1,27,28,True,321,21116,116,116,46,1,23.56593,198951,2015-07-23T13:53:32Z,
ttrelle/spring-data-examples,2,0,2,2,0,2,True,30,1023,158,158,143,0,47.736385,263,2011-12-23T10:11:17Z,
ulisesbocchio/jasypt-spring-boot,0,4,4,0,9,9,True,49,1865,644,644,156,5,53.765797,299,2015-05-27T14:00:55Z,
uncodecn/uncode-dal-all,1,0,1,2,0,2,False,80,8127,129,129,108,1,9.824517,141,2014-12-18T09:45:34Z,
Unicon/cas-client-autoconfig-support,0,1,1,0,4,4,False,5,313,102,102,46,1,29.372831,257,2015-04-17T19:56:56Z,
uptop/JavaWebSocket,1,0,1,1,0,1,False,2,79,227,227,78,1,49.760296,6,2017-06-12T07:33:34Z,
ushelp/EasyEE,30,12,42,336,24,360,True,278,18889,204,204,119,3,18.197824,127085,2015-09-30T08:38:06Z,
v5developer/maven-framework-project,76,10,86,484,24,508,True,741,32833,420,420,274,1,55.77937,449102,2014-07-01T04:47:03Z,
vaadin/spring,0,3,3,0,7,7,False,22,1154,119,119,82,94,80.49824,755,2015-02-04T11:11:27Z,
vakinge/jeesuite-libs,0,5,5,0,8,8,False,307,21662,305,305,165,2,10.811239,2513,2016-07-03T05:38:18Z,
vangao1989/cloudE,0,6,6,0,12,12,True,26,1477,321,321,189,1,48.826645,1157,2017-07-24T02:58:48Z,
VanRoy/spring-data-jest,0,3,3,0,9,9,True,29,2918,133,133,55,12,43.286316,6296,2016-06-23T14:25:14Z,
vdenotaris/spring-boot-security-saml-sample,0,1,1,0,45,45,True,8,567,278,278,185,7,48.536423,1317,2014-07-19T16:26:10Z,
vector4wang/spring-boot-quick,0,11,11,0,73,73,True,244,9219,532,532,311,1,55.489082,4343,2017-03-13T12:32:30Z,
virgo47/restful-spring-security,1,0,1,7,0,7,True,18,602,230,230,114,1,47.416508,377,2014-07-15T13:26:55Z,
vito16/shop,0,1,1,0,4,4,True,67,3718,276,276,150,7,33.664207,3936,2014-06-13T02:46:21Z,
vonzhou/SpringInAction3,55,1,56,208,4,212,True,220,5001,168,168,74,2,53.439365,57933,2016-03-30T13:02:51Z,
wacai/spring-boot-starter-dubbo,0,1,1,0,1,1,False,2,42,162,162,65,0,43.2575,127,2015-08-31T04:08:56Z,
WAng91An/ManagementSystem,2,0,2,6,0,6,False,13,1036,216,216,114,1,45.04524,15378,2018-01-09T01:58:29Z,
wanghongfei/spring-security-oauth2-example,0,1,1,0,3,3,True,5,134,275,275,162,2,47.685513,12,2016-09-28T06:24:16Z,
wangl1989/mysiteforme,0,6,6,0,23,23,True,155,10924,194,194,90,0,7.5206575,6527,2018-02-05T11:25:43Z,
wanliyang1990/AppServiceRestFul,10,0,10,43,0,43,False,90,4862,140,140,41,0,15.323,28080,2017-10-12T01:44:38Z,
watchdog-framework/watchdog-framework,0,6,6,0,19,19,True,78,2577,151,151,73,0,18.753883,6676,2018-04-13T06:37:37Z,
web3j/web3j-spring-boot-starter,0,1,1,0,3,3,False,3,168,100,100,44,12,41.209274,195,2017-02-19T04:25:27Z,
Wechat-Group/weixin-java-tools-springmvc,2,2,4,8,4,12,False,19,856,275,275,175,0,50.562584,116,2016-07-07T10:00:26Z,
weechang/moreco,0,3,3,0,8,8,True,137,3084,137,137,59,5,12.870901,5338,2017-10-19T13:28:39Z,
white-cat/jeeweb,7,0,7,77,0,77,False,401,25520,147,147,83,1,18.555378,6697,2017-07-06T03:47:17Z,
white-cat/jeeweb-mybatis,7,0,7,81,0,81,False,399,24664,173,173,96,5,19.171352,8909,2017-07-24T09:26:18Z,
whyalwaysmea/Spring-Security,0,5,5,0,7,7,True,71,1729,138,138,89,0,61.091637,95,2018-03-18T07:43:10Z,
william-tran/microservice-security,0,3,3,0,12,12,True,21,923,176,176,119,3,32.079807,496,2015-09-10T00:37:53Z,
withstars/Blog-System,3,1,4,6,1,7,True,24,811,119,119,55,3,47.14721,18085,2017-09-09T00:16:59Z,
withstars/Books-Management-System,2,1,3,3,1,4,True,21,1440,180,180,95,8,52.187214,7831,2017-08-27T10:51:18Z,
wizardjedi/my-spring-learning,0,0,0,0,0,0,False,,,140,140,54,0,45.97537,322,2012-10-14T16:55:44Z,
wj596/jsets-shiro-spring-boot-starter,0,1,1,0,5,5,False,63,3580,168,168,77,1,45.959312,256,2017-12-27T12:31:19Z,
wosyingjun/beauty_ssm,4,0,4,22,0,22,True,26,932,1210,1210,745,36,52.089603,74,2016-07-08T06:14:46Z,
wpcfan/spring-boot-tut,0,9,9,0,13,13,True,153,3400,433,433,181,4,51.765247,6050,2017-01-24T03:56:51Z,
wuyouzhuguli/FEBS-Security,0,10,10,0,29,29,True,183,8918,270,270,75,2,34.889072,3226,2018-09-14T09:26:53Z,
wuyouzhuguli/SpringAll,0,19,19,0,75,75,True,177,5079,1727,1727,335,1,73.64644,322,2018-05-02T02:48:44Z,
wxyyxc1992/Backend-Boilerplate,5,36,41,32,90,122,True,422,15054,347,347,93,0,44.908115,1867,2016-06-05T10:45:13Z,
wyh-spring-ecosystem-student/spring-boot-student,1,17,18,1,25,26,True,214,8881,449,449,288,7,59.91368,782,2017-05-24T08:38:38Z,
xautlx/s2jh4net,11,1,12,105,1,106,True,288,18557,168,168,141,5,28.112932,105230,2015-03-04T09:41:33Z,
xenv/S-mall-ssm,2,0,2,10,0,10,True,113,8367,101,101,43,2,23.37957,2899,2018-02-26T13:28:31Z,
xetys/spring-cloud-oauth2-example,0,3,3,0,5,5,True,8,208,138,138,94,3,42.964645,70,2016-02-01T20:33:28Z,
xiaomoinfo/SpringBootUnity,0,5,5,0,9,9,True,128,7048,637,637,346,8,68.54585,13900,2016-04-02T03:47:39Z,
xiaour/SpringBootDemo,0,0,0,0,0,0,True,45,2078,152,152,99,2,55.28775,210,2017-04-25T01:18:29Z,
xiaowei1118/java_server,0,1,1,0,7,7,True,112,8449,268,268,189,16,48.782738,3418,2015-07-20T02:15:14Z,
xkcoding/spring-boot-demo,0,12,12,0,21,21,True,188,4540,236,236,93,0,46.11195,2091,2017-11-10T06:27:29Z,
xpadro/spring-integration,10,6,16,28,47,75,True,110,2601,121,121,220,0,52.626755,870,2013-07-23T15:31:37Z,
xubinux/xbin-store,0,9,9,0,9,9,True,130,15974,1695,1695,945,8,30.335922,21949,2017-02-26T04:19:53Z,
xujeff/tianti,6,0,6,36,0,36,True,64,4534,812,812,504,23,22.787945,29269,2017-02-08T08:21:02Z,
xuminwlt/j360-boot,0,4,4,0,12,12,True,38,741,110,110,71,0,38.008026,880,2015-09-01T02:05:16Z,
xuminwlt/j360-cloud-all,0,0,0,0,2,2,True,15,443,166,166,149,2,18.135122,43,2015-09-30T03:22:29Z,
xuwujing/springBoot-study,0,13,13,0,37,37,True,176,7078,185,185,93,6,55.563465,339,2018-01-10T11:14:06Z,
xvitcoder/spring-mvc-angularjs,0,1,1,0,3,3,True,16,428,287,287,248,3,52.744057,558,2012-12-21T00:14:28Z,
xwjie/ElementVueSpringbootCodeTemplate,0,4,4,0,16,16,True,74,2124,377,377,125,6,47.189896,1372,2017-09-20T13:06:45Z,
xwjie/PLMCodeTemplate,1,1,2,5,3,8,False,26,892,1248,1248,409,6,56.619125,4217,2017-04-02T08:43:47Z,
YeautyYE/netty-websocket-spring-boot-starter,0,0,0,0,0,0,False,18,1446,133,133,42,3,38.396603,83,2018-07-02T02:17:43Z,
yidao620c/SpringBootBucket,0,29,29,0,108,108,True,246,9485,401,401,230,7,64.390854,2265,2018-03-04T09:46:49Z,
yidongnan/grpc-spring-boot-starter,0,16,16,0,50,50,True,134,4218,590,590,217,10,53.6676,828,2016-12-30T09:06:15Z,
yidongnan/spring-cloud-consul-example,0,0,0,0,2,2,True,9,187,142,142,82,3,44.26093,1017,2016-06-07T09:13:53Z,
yidongnan/spring-cloud-netflix-example,0,2,2,0,2,2,True,11,292,667,667,320,3,56.071655,1090,2016-06-07T02:23:48Z,
yinjihuan/elastic-job-spring-boot-starter,0,1,1,0,2,2,False,11,685,146,146,59,3,40.46875,53,2018-03-18T10:12:26Z,
yinjihuan/spring-boot-starter-encrypt,0,1,1,0,2,2,False,10,424,189,189,106,7,46.662548,78,2018-05-11T10:08:41Z,
yinjihuan/spring-cloud,4,15,19,9,43,52,True,184,6803,640,640,346,1,59.919903,313,2017-10-24T13:07:22Z,
yizhiwazi/springboot-socks,0,6,6,0,10,10,True,87,2351,492,492,313,0,58.477104,3029,2017-09-24T16:03:57Z,
ykameshrao/spring-hibernate-springdata-springmvc-maven-project-framework,8,0,8,28,0,28,False,68,2253,266,266,196,2,62.93678,434,2012-07-07T13:56:43Z,
youseries/uflo,2,0,2,48,0,48,False,293,14784,283,283,117,14,18.155304,3008,2017-06-26T11:25:56Z,
youseries/ureport,3,0,3,101,0,101,False,469,30113,633,633,298,56,40.4001,99475,2017-06-05T07:48:31Z,
youseries/urule,2,0,2,166,2,168,True,555,34685,547,547,258,14,40.392525,11974,2017-08-25T07:13:39Z,
youzan/bugCatcher,2,0,2,9,0,9,False,34,1471,358,358,165,0,37.231396,861,2017-03-31T10:34:29Z,
yrojha4ever/JavaStud,0,0,0,0,0,0,False,214,4604,158,158,80,0,18.518137,1648,2015-09-03T04:50:23Z,
yu199195/hmily,3,8,11,21,18,39,True,188,7385,1889,1889,715,36,37.662964,1406,2017-09-28T06:29:01Z,
yu199195/Jinx,0,0,0,0,0,0,False,26,2635,239,239,89,1,31.460419,61,2017-08-07T10:14:17Z,
yu199195/myth,20,32,52,84,65,149,True,250,8455,1167,1167,522,28,26.752712,1136,2017-12-01T06:33:28Z,
yu199195/Raincat,4,9,13,28,21,49,True,245,9632,1269,1269,520,19,35.941673,1568,2017-09-01T08:06:20Z,
yujunhao8831/spring-boot-start-current,0,13,13,0,33,33,True,142,6163,157,157,46,1,47.76657,1345,2017-06-29T02:55:10Z,
yzcheng90/X-SpringBoot,0,7,7,0,20,20,True,143,5860,235,235,119,1,58.02061,3062,2018-01-05T08:39:00Z,
zaiyunduan123/springboot-seckill,0,1,1,0,8,8,True,50,1810,341,341,138,9,52.389328,5033,2018-05-18T03:29:21Z,
zalando/problem-spring-web,0,0,0,0,0,0,False,83,1826,227,227,35,5,40.617928,765,2015-08-18T21:41:40Z,
zbum/netty-spring-example,0,0,0,0,6,6,True,7,236,119,119,63,0,42.186745,30,2015-08-03T00:41:43Z,
Zephery/newblog,8,0,8,111,0,111,True,141,7335,464,464,190,5,38.685303,39940,2017-07-13T03:21:50Z,
zhangkaitao/spring4-1-showcase,5,1,6,21,3,24,True,38,981,110,110,94,2,53.99483,226,2014-08-06T13:23:24Z,
zhangkaitao/spring4-showcase,7,3,10,26,6,32,True,61,2768,349,349,379,3,67.24044,167,2013-12-17T14:26:48Z,
zhanglei-workspace/shopping-management-system,4,0,4,15,0,15,True,94,6433,2255,2255,1644,12,58.68352,4348,2015-11-16T12:53:21Z,
zhangxd1989/spring-boot-cloud,0,2,2,0,2,2,True,16,346,1244,1244,746,17,67.4286,1292,2017-04-28T12:08:27Z,
zhangxd1989/springboot-dubbox,0,7,7,0,24,24,True,109,5114,649,649,414,6,61.02551,117,2017-02-10T10:28:20Z,
zhangyd-c/springboot-learning,0,4,4,0,14,14,True,90,2562,526,526,361,5,59.660866,1326,2017-03-02T06:31:20Z,
ZHENFENG13/perfect-ssm,4,1,5,15,3,18,False,28,1172,386,386,207,2,30.676014,5091,2017-07-07T03:01:15Z,
ZHENFENG13/ssm-demo,8,0,8,21,0,21,False,62,2515,924,924,494,11,40.34707,33988,2017-02-23T08:13:00Z,
zhengyunfei/springboot-hadmin,0,2,2,0,8,8,True,75,3225,144,144,89,8,47.532684,6837,2017-04-07T08:24:14Z,
ZhibingXie/SpringMVC-Spring-MyBatis,2,0,2,8,0,8,False,6,150,566,566,616,3,76.37324,1380,2014-01-19T05:21:12Z,
zhiyuncloud/aixuexiao,2,0,2,12,0,12,True,29,1739,249,249,250,3,19.702599,11706,2013-08-22T03:56:32Z,
zhonglinlin1305/Spring,10,0,10,61,0,61,True,42,1130,349,349,261,1,97.27449,19217,2015-11-20T03:19:06Z,
zhonglinlin1305/spring-boot-sample,0,11,11,0,30,30,True,77,3942,156,156,104,0,45.757027,254,2016-11-10T09:59:06Z,
zhoutaoo/SpringCloud,0,10,10,0,27,27,True,108,2487,131,131,84,3,55.620564,3965,2017-07-23T14:28:08Z,
zifangsky/WeatherSpider,0,3,3,0,8,8,True,54,1879,251,251,116,0,34.23506,56358,2016-12-25T10:38:46Z,
zpng/spring-cloud-7simple,0,2,2,0,9,9,True,30,1769,119,119,106,1,45.41576,11063,2016-10-11T10:13:12Z,
zpng/spring-cloud-microservice-examples,0,4,4,0,13,13,True,39,2170,344,344,216,7,57.2685,162,2016-10-28T04:31:24Z,
zsl131/spring-boot-test,0,0,0,0,0,0,True,48,1479,186,186,215,3,50.55918,130,2016-10-13T02:44:58Z,
ZzXxL1994/e3mall,27,0,27,105,0,105,False,93,9452,127,127,84,2,25.830837,5502,2017-12-24T15:11:29Z,
,,,,,,,,,,,,,,,,,